Категория; Имя продукта; Код продукта; Цена, бел.руб ;
Мобильные телефоны Samsung; Samsung E1182 Duos TFT 65 тыс. цветов/ 1.5'' (128x128)/ Dual Sim/ 1000 mAh (Li-ion)/ Silver/ СТБ; 789654/3725; 395280.00000; 
Мобильные телефоны Samsung; Samsung E2232 Duos TFT 65 тыс. цветов/ 1.8'' (128x160)/ камера 0.3 Мп/ Dual Sim/ GPRS/ Bluetooth (A2DP)/ 1000 mAh (Li-ion)/ White/ СТБ; 789649/3725; 518256.00000; 
Мобильные телефоны Samsung; Samsung E2530 La Fleur 2'' (128x160)/ камера 1.3 Мп/ GPRS/ EDGE/ Bluetooth (A2DP)/ 800 mAh/ Red/ СТБ; 789647/3725; 731400.00000; 
Мобильные телефоны Samsung; Samsung C3011 TFT 65 тыс. цветов/ 2'' (128x160)/ камера 0.3 Мп/ видео 176x144 15fps/ GPRS/ EDGE/ Bluetooth/ 800 mAh (Li-ion)/ Red/ СТБ; 789843/3725; 580560.00000; 
Мобильные телефоны Samsung; Samsung E1080 CSTN 65 тыс. цветов/ 1.4'' (128x128)/ 800 mAh (Li-ion)/ Black/ СТБ; 789522/3725; 268632.00000; 
Мобильные телефоны Samsung; Samsung E1080 CSTN 65 тыс. цветов/ 1.4'' (128x128)/ 800 mAh (Li-ion)/ Red/ СТБ; 789508/3725; 268632.00000; 
Мобильные телефоны Samsung; Samsung E1081T CSTN 65 тыс. цветов/ 1.4'' (128x128)/ 800 mAh (Li-ion)/ Black/ СТБ; 789509/3725; 268632.00000; 
Мобильные телефоны Samsung; Samsung E2121B CSTN 65 тыс. цветов/ 1.5'' (128x128)/ камера 0.3 Мп/ видео 160x120 15fps/ GPRS/ Bluetooth/ 1000 mAh (Li-ion)/ Black/ СТБ; 789651/3725; 451351.00000; 
Мобильные телефоны Samsung; Samsung E2121B CSTN 65 тыс. цветов/ 1.5'' (128x128)/ камера 0.3 Мп/ видео 160x120 15fps/ GPRS/ Bluetooth/ 1000 mAh (Li-ion)/ Red/ СТБ; 789652/3725; 441600.00000; 
Мобильные телефоны Samsung; Samsung S3350 TFT 262 тыс. цветов/ 2.4'' (320x240)/ камера 2 Мп/ GPRS/ EDGE/ Wi-Fi/ Bluetooth (A2DP)/ 1000 mAh (Li-ion)/ Black/ СТБ; 789523/3725; 1108800.00000; 
Мобильные телефоны Samsung; Samsung S3600i TFT 262 тыс. цветов/ 2.2'' (176x220)/ камера 1.3 Мп/ GPRS/ EDGE/ Bluetooth (A2DP)/ 880 mAh (Li-ion)/ Black/ СТБ; 789657/3725; 817650.00000; 
Мобильные телефоны Samsung; Samsung S5360 TFT 256 тыс. цветов/ 3'' (240x320)/ камера 2 Мп/ GPRS/ EDGE/ Wi-Fi/ Bluetooth (A2DP)/ GPS/ 1200 mAh (Li-ion)/ Black/ СТБ; 789676/3725; 1282320.00000; 
Мобильные телефоны Samsung; Samsung S5360 TFT 256 тыс. цветов/ 3'' (240x320)/ камера 2 Мп/ GPRS/ EDGE/ Wi-Fi/ Bluetooth (A2DP)/ GPS/ 1200 mAh (Li-ion)/ White/ СТБ; 789525/3725; 1282320.00000; 
Мобильные телефоны Samsung; Samsung S5670 Galaxy Fit TFT 16 млн. цветов/ 3.3'' (240x320)/ камера 5 Мп/ видео 640x480 15fps/ GPRS/ EDGE/ Wi-Fi/ Bluetooth (A2DP)/ GPS/ 1350 mAh (Li-ion)/ White/ СТБ; 789664/3725; 1751040.00000; 
Сетевые карты; Сетевая карта D-Link DFE-520TX PCI 10/100Mbit; 11425/3725; 51878.00000; 
Сетевые карты; Сетевая карта D-Link DGE-528T 10/100/1000 Retail; 777392/3725; 79214.00000; 
Бумага; Xerox A4/ 80 г/м2/ 500л; 780652/3725; 57406.00000; 
Фотобумага для принтеров и плоттеров; Глянцевая бумага Canon SG-201 4x6/ 50л; 787033/3725; 131726.00000; 
Маршрутизаторы; D-Link DSL-2500U/BRS/D ADSL2+ с расш. функц. QoS Eth Роутер 1 LAN & 1 ADSL порт/ со сплитером; 789624/3725; 197202.00000; 
Маршрутизаторы; D-Link DSL-2540U/BRU/С3B ADSL2/2+ 4-port Ethernet Router (4UTP/ 10/100Mbps) Retail; 777240/3725; 309948.00000; 
Маршрутизаторы; D-Link DSL-2600U/NRU/C4A ADSL/Ethernet-маршрутизатор c Wi-Fi; 789587/3725; 342102.00000; 
Маршрутизаторы; D-Link DSL-2640U/NRU/C4 Wireless ADSL 65Mbps 5 Port: ADSL+ 4Fast (10/100); 788097/3725; 392334.00000; 
Беспроводные USB адаптеры; Wi-Fi cетевая плата D-Link DWA-126 Wi-Fi адаптер/ USB/ 802.11n/ 150 Мбит/с; 788062/3725; 228172.00000; 
Беспроводные USB адаптеры; Wi-Fi cетевая плата D-Link DWA-140/EU/ RangeBooster N 650 2/4 ГГц (проект стандарта 802.11n)/ USB; 781765/3725; 136344.00000; 
Беспроводные PCI и PCI-E адаптеры; Wi-Fi cетевая плата D-Link DWA-525 адаптер 802.11b/g/n/ скорость передачи 150 Mbps/ PCI; 783750/3725; 124200.00000; 
Беспроводные адаптеры; Wi-Fi Сетевой адаптер D-Link DWA-643 IEEE802.11n/g/b/ 2.412-2.484GHz/ DSSS/ OFDM/ 17dBm/ Fr Notebook; 785294/3725; 502564.00000; 
Беспроводные адаптеры; D-Link DIR-300/NRU 802.11n (up to 150Mbps) + 4-port UTP 10/100Mbps + 1-port UTP 10/100 Mbps for WAN; 781462/3725; 321678.00000; 
Точки доступа; D-Link DIR-320/NRU беспроводная точка доступа до 54Mbps/ 802.11g/ 4 порта LAN 10/100Mbps; 781463/3725; 459395.00000; 
Беспроводные маршрутизаторы; D-Link DIR-330/RU IEEE 802.3/11g/3u/11b/ 4port/ 2400-2497MHz/ 1MBps/ 19dBm; 785297/3725; 1149205.00000; 
Беспроводные маршрутизаторы; D-Link DIR-412 Мобильный маршрутизатор Wireless 150 с поддержкой 3G и Wi-Fi для сетей EVDO/CDMA/HSUDPA/HSDPA/UMTS/ до 150Мбит/с; 788156/3725; 319194.00000; 
Точки доступа; Беспроводная точка доступа D-Link DAP-1150/ 802.11b/ 802.11g беспроводная LAN/ 1 порт LAN 10/100Mbps; 779888/3725; 257646.00000; 
Точки доступа; Беспроводная точка доступа D-Link DAP-1350 Беспроводной 2/4 ГГц (802.11n) компактный маршрутизатор/точка доступа/ до 300 Мбит/с; 788290/3725; 490314.00000; 
Кабель; Кабель KVM D-Link DKVM-402 4-in-one/ 3m; 788294/3725; 181060.00000; 
Кабель; Кабель KVM D-Link DKVM-CB для подключения клавиатуры/ мыши и монитора/ 1.8m; 788292/3725; 117620.00000; 
Кабель; Кабель KVM D-Link DKVM-CB3 для подключения клавиатуры/ монитора и мыши/ длина 3м; 789585/3725; 140528.00000; 
Маршрутизаторы; Коммутатор D-Link DES-1005A 5-port 10/100 Retail; 788095/3725; 81870.00000; 
Маршрутизаторы; Коммутатор D-Link DGS-1008D\GE 8-port 10/100/1000Base-T; 777237/3725; 329914.00000; 
Маршрутизаторы; Коммутатор D-Link DGS-1008P 10/100Base-TX (4 порта с поддержкой PoE + 4 порта без поддержки PoE); 789584/3725; 903802.00000; 
Маршрутизаторы; Коммутатор D-Link DGS-1016D\GE 16-port 10/100/1000Base-T; 779977/3725; 1261123.00000; 
Маршрутизаторы; Коммутатор D-Link DGS-1024D/E1A 24Px10/100/1000Mbs Base-T; 789622/3725; 1502406.00000; 
Маршрутизаторы; Коммутатор D-Link DIR-100/D1A/ широкополосный маршрутизатор с 4 портами LAN; 789623/3725; 256032.00000; 
Маршрутизаторы; Коммутатор Zyxel ES-2108 8port/ 10Base-T/100Base-TX/ 1 SFP Slots; 785953/3725; 1435687.00000; 
Беспроводные маршрутизаторы; Модем D-Link DFM-562I hardware; 10916/3725; 108964.00000; 
Беспроводные маршрутизаторы; Модем D-Link DFM-562IS V.92/ PCI/ 57600/ S/W modem/ Voice/ Retail; 779547/3725; 73640.00000; 
USB Flash 16ГБ; 16Gb Pen Drive USB 2.0 Silicon Power Helios 101 SP016GBUF2101V1B Blue; 785938/3725; 109020.00000; 
USB Flash 16ГБ; 16Gb Pen Drive USB 2.0 Silicon Power Helios 101 SP016GBUF2101V1N Green; 785650/3725; 109020.00000; 
USB Flash 16ГБ; 16Gb Pen Drive USB 2.0 Silicon Power Touch 830 SP016GBUF2830V1S Silver; 789374/3725; 109020.00000; 
USB Flash 16ГБ; 16Gb Pen Drive USB 2.0 Silicon Power Touch 835 SP016GBUF2835V1B Blue; 789283/3725; 109020.00000; 
USB Flash 4ГБ; 4Gb Pen Drive USB 2.0 Silicon Power LuxMini 710 SP004GBUF2710V1S Silver; 786222/3725; 57960.00000; 
USB Flash 4ГБ; 4Gb Pen Drive USB 2.0 Silicon Power LuxMini 720 SP004GBUF2720V1B Blue; 789826/3725; 57960.00000; 
USB Flash 4ГБ; 4Gb Pen Drive USB 2.0 Silicon Power LuxMini 720 SP004GBUF2720V1G Gold; 786223/3725; 57960.00000; 
USB Flash 4ГБ; 4Gb Pen Drive USB 2.0 Silicon Power Touch 830 SP004GBUF2830V1S Silver; 777909/3725; 42780.00000; 
USB Flash 4ГБ; 4Gb Pen Drive USB 2.0 Silicon Power Touch T01 SP004GBUF2T0V1K Black; 789280/3725; 42780.00000; 
USB Flash 4ГБ; 4Gb Pen Drive USB 2.0 Silicon Power Ultima II I-Series SP004GBUF2M01V1K Black; 785275/3725; 43896.00000; 
USB Flash 4ГБ; 4Gb Pen Drive USB 2.0 Silicon Power Ultima II I-Series SP004GBUF2M01V1S Silver; 780194/3725; 42780.00000; 
USB Flash 8ГБ; 8Gb Pen Drive USB 2.0 GoodRam PD8GH2GRCUBR9PLUSXM Cube Blue+White; 789321/3725; 93673.00000; 
USB Flash 8ГБ; 8Gb Pen Drive USB 2.0 Silicon Power Touch 830 SP008GBUF2830V1S Silver; 789373/3725; 56580.00000; 
USB Flash 8ГБ; 8Gb Pen Drive USB 2.0 Silicon Power Touch 835 SP008GBUF2835V1B Blue; 789281/3725; 56580.00000; 
USB Flash 8ГБ; 8Gb Pen Drive USB 2.0 Silicon Power Touch T01 SP008GBUF2T01V1K Black; 789282/3725; 56580.00000; 
USB Flash 8ГБ; 8Gb Pen Drive USB 2.0 Silicon Power Ultima II I-Series SP008GBUF2M01V1K Black; 788087/3725; 56580.00000; 
USB Flash 8ГБ; 8Gb Pen Drive USB 2.0 Silicon Power Ultima II I-Series SP008GBUF2M01V1S Silver; 785282/3725; 56580.00000; 
Колонки CANYON; Canyon CNR-SP20CW 3Wx2/ 100Hz-20kHz/ 4 Ohm/ USB/ White-Black; 783977/3725; 116586.00000; 
Колонки Defender; Defender SPK-225 Silver-Black 2x1W/ 200-18000GHz/ USB/ магнитное экранирование; 787981/3725; 62815.00000; 
Колонки прочих производителай; F&D V520 Pink (1.2W+1.2W/  60-16000Hz/ 2х-полос./) For Notebook; 786118/3725; 124468.00000; 
Колонки прочих производителай; Logitech S-150 Black Digital USB; 778034/3725; 145596.00000; 
Колонки прочих производителай; Logitech X-140 2x2.5W/ 80Hz - 18KHz; 778033/3725; 279284.00000; 
Колонки Microlab; Microlab B-18 White (2x2.4Вт/ 100-20000 Гц/ магнитное экранир/ 145х89х188/ пластик. корпус); 789015/3725; 96998.00000; 
Колонки Microlab; Microlab B-55 Silver 2x0.5W/ 120 - 16000Ghz; 781789/3725; 97430.00000; 
Колонки Microlab; Microlab iH11 Black 20Wx2/ 45 - 20000Ghz/ ПДУ/ for iPod/ iPhone; 784090/3725; 1047216.00000; 
Колонки Microlab; Microlab MD122 Black 1.2Wx2/ 100 - 20000Hzz/ USB; 789025/3725; 149004.00000; 
Колонки Arctic Sound; Arctic Sound S151 2.1 Black 10W + 2x3.5W/ выход на наушники; 787954/3725; 269068.00000; 
Колонки Arctic Sound; Arctic Sound S161 2.1 Black 11W + 2x3.5W/ выход на наушники; 787956/3725; 341657.00000; 
Колонки Arctic Sound; Arctic Sound S361 2.1 Black 40W + 2x18W/ выход на наушники/ проводно ПДУ; 787955/3725; 901038.00000; 
Колонки Arctic Sound; Arctic Sound S362 2.1 Black 50W + 2x12W/ выход на наушники; 787957/3725; 901038.00000; 
Колонки Defender; Defender Avante M30 2.1 Black 14W+ 2x8W/ выход на наушники; 788275/3725; 494460.00000; 
Колонки Defender; Defender Avante X35 2.1 Black 18W+ 2x8W/ проводной ДУ; 788278/3725; 670532.00000; 
Колонки прочих производителай; F&D S320 2.1 Black (2Wх2+2W/ 2 кол.+сабв. всё дерев.); 786112/3725; 239447.00000; 
Колонки Microlab; Microlab FC-362 2.1 54W(24W + 2x15W) 35-20000GHz/ Black; 785607/3725; 784802.00000; 
Колонки Microlab; Microlab FC-390 2.1 54W(24W + 2x15W) 30-20000GHz/ Black; 785609/3725; 629809.00000; 
Колонки Microlab; Microlab FC-530 2.1  54 Вт: 2х15+24Вт RMS/ пульт ДУ/  дерево; 779560/3725; 659160.00000; 
Колонки Microlab; Microlab M-200 2.1  (12Wx2+16W RMS) 2 кол.+сабв. дерев./ ПДУ/ Черные; 782372/3725; 377133.00000; 
Колонки Microlab; Microlab M-280 2.1  (12Wx2+16W RMS) 2 кол.+сабв. дерев./ Черные; 784072/3725; 305042.00000; 
Колонки Microlab; Microlab M-520 2.1 (4Wх2 + 9W RMS) 2 кол.+сабв. Silver-Black; 777779/3725; 262350.00000; 
Колонки Microlab; Microlab M-528 2.1 (2.5Wх2 + 4W RMS) 2 кол.+сабв. дерев./ Черный; 777579/3725; 307740.00000; 
Колонки Microlab; Microlab M-600 2.1 (12Wx2+16W RMS) 30-20000GHz/ Black; 781350/3725; 431803.00000; 
Колонки Microlab; Microlab M-880 2.1 (16Wx2+27W RMS) 2 кол.+сабв. дерев. черный.; 780928/3725; 527160.00000; 
Микрофоны; Микрофон Canyon CNR-MIC2 Black; 782580/3725; 44853.00000; 
Микрофоны; Микрофон Defender MIC-129 для караоке/ 5м кабель; 788284/3725; 17082.00000; 
Гарнитуры; Гарнитура Arctic Sound P201 104dBa/ 32Om/ 2.3m; 786103/3725; 139633.00000; 
Гарнитуры; Гарнитура Arctic Sound P261 105dBa/ 32Om/ 3m/ USB; 786104/3725; 301580.00000; 
Гарнитуры; Гарнитура Arctic Sound P301 97dBa/ 32Om/ 2.5m; 786106/3725; 271403.00000; 
Гарнитуры; Гарнитура Arctic Sound P321 97dBa/ 32Om/ 3.2m/ USB; 786107/3725; 432367.00000; 
Гарнитуры; Гарнитура Arctic Sound P531 97dBa/ 32Om/ 3.2m/ USB; 786108/3725; 657722.00000; 
Гарнитуры; Гарнитура Defender HN-320 стерео/ регулят. громк./ 1.8м кабель; 779351/3725; 47843.00000; 
Гарнитуры; Гарнитура Defender HN-887 стерео/ регулят. громкости/ 2м кабель/ Grey; 788283/3725; 101780.00000; 
Гарнитуры; Гарнитура Defender HN-887 стерео/ регулят. громкости/ 2м кабель/ Silver; 788282/3725; 101780.00000; 
Гарнитуры; Гарнитура Defender HN-900 стерео/ регулят. громк./ 3м кабель; 779357/3725; 58194.00000; 
Гарнитуры; Гарнитура Defender HN-915 стерео/ регулят. громк./ 3м кабель; 779358/3725; 47034.00000; 
Гарнитуры; Гарнитура Defender HN-B601 Беспроводная Bleutooth/ USB; 788281/3725; 409537.00000; 
Гарнитуры; Гарнитура Logitech PC Headset H110; 785201/3725; 176729.00000; 
Гарнитуры; Гарнитура Logitech USB Headset H130 Blue; 789036/3725; 229210.00000; 
Гарнитуры; Гарнитура Logitech USB Headset H150 Blue; 789035/3725; 229210.00000; 
Гарнитуры; Гарнитура Logitech USB Headset H150 Pink; 789034/3725; 229210.00000; 
Гарнитуры; Гарнитура Logitech USB Headset H230; 789039/3725; 352786.00000; 
Гарнитуры; Гарнитура Logitech USB Headset H250 Graphite; 789032/3725; 424741.00000; 
Гарнитуры; Гарнитура Logitech USB Headset H555; 785203/3725; 441648.00000; 
Наушники накладные и полноразмерные; Наушники A4Tech HSP-100U Гарнитура и колонки 2.0 в одном корпусе; 784351/3725; 318436.00000; 
Наушники накладные и полноразмерные; Наушники Arctic Sound P281 109dBa/ 32Om/ 2.5m; 786105/3725; 252118.00000; 
Наушники накладные и полноразмерные; Наушники Defender MPH-960 110dBa/ 20-20000Hz/ 32 Om/ 1.8m; 788666/3725; 84376.00000; 
Наушники накладные и полноразмерные; Наушники Defender MPH-TV863 120мВт/ 20-20000Hz/ 32 Om/ 100м/ FM; 787984/3725; 488603.00000; 
Наушники накладные и полноразмерные; Наушники Sony MDR-570LP 1W/ 12-22000 GHz/ 24 Om/ 108dBa/ 1.2m/ Black; 789748/3725; 382391.00000; 
Наушники накладные и полноразмерные; Наушники Sony MDR-E10LP/P 0.1W/ 18-22000 GHz/ 104dBa/ 16 Om/ 1.2m/ Pink; 787684/3725; 88578.00000; 
Наушники накладные и полноразмерные; Наушники Sony MDR-E11LP/L 0.1W/ 12-22000 GHz/ 108dBa/ 16 Om/ 1.2m/ Blue; 787687/3725; 125441.00000; 
Наушники накладные и полноразмерные; Наушники Sony MDR-EX40LP/LI 0.1W/ 16-23000 GHz/ 16 Om/ 100dBa/ 1.2m/ Blue; 787691/3725; 221818.00000; 
Наушники накладные и полноразмерные; Наушники Sony MDR-EX40LP/PI 0.1W/ 16-23000 GHz/ 16 Om/ 100dBa/ 1.2m/ Pink; 787692/3725; 221818.00000; 
Наушники накладные и полноразмерные; Наушники Sony MDR-EX50LP/R 0.1W/ 5-23000 GHz/ 16 Om/ 100dBa/ 1.2m/ Red; 789758/3725; 151977.00000; 
Наушники накладные и полноразмерные; Наушники Sony MDR-G45LP 1W/ 16-20000 GHz/ 16 Om/ 104dBa/ 1.2m/ Black; 789747/3725; 156878.00000; 
Наушники накладные и полноразмерные; Наушники Sony MDR-IF140K 18-22000 GHz/ 1xAAA/ 7m/ RCA; 789749/3725; 372574.00000; 
Наушники накладные и полноразмерные; Наушники Sony MDR-ZX300/L 1W/ 10-24000 GHz/ 24 Om/ 102dBa/ 1.2m/ Blue; 787672/3725; 333851.00000; 
Наушники накладные и полноразмерные; Наушники Sony MDR-ZX300/R 1W/ 10-24000 GHz/ 24 Om/ 102dBa/ 1.2m/ Red; 787680/3725; 333851.00000; 
Наушники накладные и полноразмерные; Наушники Sony MDR-ZX500/B 1.5W/ 8-25000 GHz/ 70 Om/ 104dBa/ 1.2m/ Black; 789761/3725; 382391.00000; 
Мыши A4Tech; Мышь A4Tech G6-20D 2.4G  Wireless Optical Black/ USB; 779047/3725; 189364.00000; 
Мыши A4Tech; Мышь A4Tech XL-760H G-Laser 3600dpi/ 6кн+1кол/ 4D/ Black-Silver/ USB; 779599/3725; 289799.00000; 
Мыши Canyon; Мышь Canyon CNR-MSD04 Optical/ 1000dpi/ USB/ Black; 787513/3725; 74869.00000; 
Мыши Canyon; Мышь Canyon CNR-MSD05 Optical/ 1000dpi/ USB/ Black; 787501/3725; 90509.00000; 
Мыши Canyon; Мышь Canyon CNR-MSD06S Optical/ 1600dpi/ USB/ Black-Silver; 787515/3725; 79454.00000; 
Мыши Canyon; Мышь Canyon CNR-MSLW01BL Optical Cordless RF/ 1600dpi/ USB/ Black-Blue; 787520/3725; 264410.00000; 
Мыши Canyon; Мышь Canyon CNR-MSLW01O Optical Cordless RF/ 1600dpi/ USB/ Black-Orange; 787522/3725; 264410.00000; 
Мыши Canyon; Мышь Canyon CNR-MSLW03 Laser Cordless RF/ 1600dpi/ USB/ Silver; 787490/3725; 230051.00000; 
Мыши Canyon; Мышь Canyon CNR-MSOW01BL Optical Cordless RF/ 1600dpi/ USB/ Black-Blue; 787492/3725; 184843.00000; 
Мыши Canyon; Мышь Canyon CNR-MSOW01G Optical Cordless RF/ 1600dpi/ USB/ Black-Green; 787493/3725; 188678.00000; 
Мыши Canyon; Мышь Canyon CNR-MSOW01O Optical Cordless RF/ 1600dpi/ USB/ Black-Orange; 787494/3725; 188678.00000; 
Мыши Canyon; Мышь Canyon CNR-MSOW03S Optical Wireless RF/ 1000dpi/ USB/ Black-Silver; 787518/3725; 135700.00000; 
Мыши Defender; Мышь Defender Diablo 500G Optical/ 1000dpi/ 4кн + кол/ USB/ Grey; 784358/3725; 86933.00000; 
Мыши Defender; Мышь Defender T-Sense 1000 Nano Black Radio Optical 1000dpi/ USB; 788266/3725; 274739.00000; 
Мыши Defender; Мышь Defender T-Sense 1000 Nano White Radio Optical 1000dpi/ USB; 788267/3725; 274739.00000; 
Мыши Logitech; Мышь Logitech M305 910-002183 Wireless Mouse Citron Yellow USB; 786237/3725; 373740.00000; 
Мыши Logitech; Мышь Logitech M310 910-002173 Wireless Mouse Dark Vine USB; 786243/3725; 274423.00000; 
Мыши Logitech; Мышь Logitech M310 910-002174 Wireless Mouse Red Tendris USB; 786245/3725; 274423.00000; 
Мыши Logitech; Мышь Logitech M345 Wireless Mouse Pink USB; 789045/3725; 326563.00000; 
Мыши Logitech; Мышь Logitech M515 Cordless Laser USB/ Blue; 789043/3725; 526213.00000; 
Мыши Logitech; Мышь Logitech M515 Cordless Laser USB/ Silver; 789042/3725; 509694.00000; 
Мыши Logitech; Мышь Logitech M525 910-002604 Wireless Mouse Green; 789732/3725; 393746.00000; 
Мыши Logitech; Мышь Logitech RX250 Optical Black PS/2+USB; 777457/3725; 93448.00000; 
Мыши Logitech; Трекбол Logitech Marble Mouse Optical/ 800dpi/ USB <910-000808>; 789738/3725; 388888.00000; 
Мыши Sony; Мышь Sony VGP-BMS15/P Laser Bluetooth 800dpi/ Pink-Green; 789741/3725; 591917.00000; 
